Date,Open,High,Low,Close,Adj Close,Volume
2022-10-31,152.160004,152.869995,151.889999,151.910004,151.910004,6097800
2022-11-01,153.820007,153.979996,152.869995,153.460007,153.460007,4603600
2022-11-02,154.160004,155.419998,152.259995,152.389999,152.389999,7210900
2022-11-03,150.699997,151.960007,150.570007,151.809998,151.809998,5378800
2022-11-04,154.949997,156.600006,154.660004,156.470001,156.470001,7692000
2022-11-07,156.220001,156.570007,155.809998,155.850006,155.850006,4425700
2022-11-08,155.990005,159.869995,155.979996,159.449997,159.449997,11299600
2022-11-09,159.360001,160.350006,158.449997,158.649994,158.649994,6040600
2022-11-10,162.009995,163.509995,161.660004,163.479996,163.479996,9939900
2022-11-11,163.910004,164.580002,163.419998,164.559998,164.559998,4622400
2022-11-14,164.199997,165.240005,164.149994,164.919998,164.919998,6187600
2022-11-15,165.270004,166.229996,164.559998,165.500000,165.500000,9903500
2022-11-16,165.410004,165.710007,164.830002,165.119995,165.119995,3645800
2022-11-17,163.789993,164.110001,163.399994,163.919998,163.919998,4574400
2022-11-18,163.380005,163.690002,162.679993,162.789993,162.789993,4321100
2022-11-21,162.440002,162.500000,161.279999,161.880005,161.880005,4766500
2022-11-22,162.300003,162.600006,161.720001,162.070007,162.070007,3203800
2022-11-23,161.690002,163.240005,161.559998,163.080002,163.080002,4167000
2022-11-25,162.850006,163.429993,162.759995,163.220001,163.220001,1436500
2022-11-28,162.929993,163.059998,161.910004,161.929993,161.929993,4052900
2022-11-29,162.699997,163.630005,162.600006,162.729996,162.729996,2620600
2022-11-30,163.690002,164.809998,162.399994,164.809998,164.809998,4874700
2022-12-01,167.479996,167.949997,166.979996,167.839996,167.839996,8625800
2022-12-02,166.179993,167.470001,165.759995,167.259995,167.259995,5185900
2022-12-05,166.550003,166.720001,164.320007,164.389999,164.389999,5436200
2022-12-06,165.199997,165.539993,164.449997,164.839996,164.839996,3597800
2022-12-07,165.470001,166.639999,165.320007,166.330002,166.330002,4610700
2022-12-08,166.580002,167.050003,166.070007,166.470001,166.470001,3217900
2022-12-09,167.259995,168.089996,166.600006,167.059998,167.059998,5431300
2022-12-12,166.440002,166.600006,165.429993,165.679993,165.679993,3504400
2022-12-13,169.210007,169.789993,168.020004,168.509995,168.509995,6750200
2022-12-14,168.429993,168.809998,167.139999,168.100006,168.100006,5643000
2022-12-15,165.729996,166.210007,165.100006,165.350006,165.350006,8363000
2022-12-16,166.020004,166.979996,165.839996,166.789993,166.789993,5372000
2022-12-19,166.710007,167.110001,165.990005,166.320007,166.320007,3940500
2022-12-20,168.100006,169.529999,168.029999,169.080002,169.080002,7803100
2022-12-21,169.039993,169.710007,168.679993,168.800003,168.800003,3990100
2022-12-22,167.759995,167.759995,166.059998,166.759995,166.759995,5672700
2022-12-23,166.880005,167.800003,166.660004,167.259995,167.259995,2912300
2022-12-27,167.889999,170.610001,167.800003,168.669998,168.669998,6885700
2022-12-28,168.050003,168.339996,167.100006,167.910004,167.910004,3662500
2022-12-29,168.539993,169.350006,168.520004,168.850006,168.850006,3345900
2022-12-30,169.259995,169.899994,168.800003,169.639999,169.639999,2864500
2023-01-03,171.320007,172.089996,170.020004,171.059998,171.059998,7992900
2023-01-04,172.860001,173.089996,171.850006,172.669998,172.669998,7574600
2023-01-05,170.820007,171.000000,169.789993,170.520004,170.520004,4692600
2023-01-06,171.759995,173.960007,171.229996,173.710007,173.710007,7889000
2023-01-09,174.509995,175.039993,173.880005,174.100006,174.100006,5134500
2023-01-10,174.610001,174.979996,174.059998,174.740005,174.740005,4398400
2023-01-11,174.759995,174.789993,173.720001,174.619995,174.619995,3374200
2023-01-12,176.009995,176.710007,174.880005,176.639999,176.639999,6936900
2023-01-13,176.960007,178.830002,176.889999,178.759995,178.759995,7468800
2023-01-17,178.210007,178.240005,177.089996,177.589996,177.589996,6610800
2023-01-18,178.919998,179.179993,176.899994,177.080002,177.080002,5384700
2023-01-19,178.369995,180.029999,178.089996,179.889999,179.889999,6678700
2023-01-20,179.059998,179.660004,178.649994,179.289993,179.289993,5754800
2023-01-23,178.350006,179.690002,177.779999,179.630005,179.630005,5265500
2023-01-24,179.559998,180.320007,178.350006,180.279999,180.279999,4604600
2023-01-25,179.350006,181.220001,179.289993,181.110001,181.110001,6925300
2023-01-26,180.149994,180.270004,178.460007,179.470001,179.470001,5860100
2023-01-27,179.270004,179.720001,178.259995,179.220001,179.220001,6052700
2023-01-30,179.289993,179.429993,178.649994,178.759995,178.759995,4210700
2023-01-31,178.820007,179.699997,178.539993,179.410004,179.410004,5976900
2023-02-01,179.750000,181.729996,178.630005,181.669998,181.669998,7996000
2023-02-02,181.080002,181.110001,177.740005,177.899994,177.899994,8842400
2023-02-03,174.919998,175.429993,173.119995,173.460007,173.460007,13674400
2023-02-06,174.110001,174.460007,173.279999,173.820007,173.820007,8957000
2023-02-07,173.720001,175.270004,173.470001,173.979996,173.979996,6794200
2023-02-08,174.940002,174.990005,173.830002,174.410004,174.410004,4075600
2023-02-09,175.490005,175.520004,172.869995,173.029999,173.029999,5361300
2023-02-10,173.630005,173.679993,172.630005,173.360001,173.360001,2971100
2023-02-13,172.699997,172.899994,172.070007,172.479996,172.479996,3970800
2023-02-14,171.970001,173.509995,171.410004,172.610001,172.610001,5403100
2023-02-15,170.600006,170.990005,170.160004,170.889999,170.889999,5423800
2023-02-16,170.339996,171.600006,169.960007,170.750000,170.750000,4540400
2023-02-17,169.869995,171.470001,169.520004,171.259995,171.259995,4809800
2023-02-21,171.199997,171.500000,170.339996,170.619995,170.619995,4035900
