,date,timestamp,open,high,low,close,num_trans,volume,vwap
0,2023-04-13 04:00:00,1681358400000,14.8,15.1,14.8,15.1,2,20,14.95
1,2023-04-14 04:00:00,1681444800000,13.8,13.8,13.8,13.8,1,1,13.8
2,2023-04-17 04:00:00,1681704000000,12.08,12.08,12.08,12.08,1,1,12.08
3,2023-04-19 04:00:00,1681876800000,11.0,11.0,11.0,11.0,1,1,11.0
4,2023-05-05 04:00:00,1683259200000,12.33,12.33,12.33,12.33,1,1,12.33
5,2023-05-08 04:00:00,1683518400000,13.03,13.03,13.03,13.03,1,1,13.03
6,2023-05-11 04:00:00,1683777600000,12.28,12.28,12.28,12.28,1,1,12.28
7,2023-05-15 04:00:00,1684123200000,11.6,11.6,11.6,11.6,1,2,11.6
8,2023-05-16 04:00:00,1684209600000,10.97,10.97,10.95,10.95,2,2,10.96
9,2023-05-17 04:00:00,1684296000000,9.67,9.67,9.67,9.67,1,1,9.67
10,2023-05-19 04:00:00,1684468800000,9.7,9.7,9.7,9.7,1,10,9.7
11,2023-05-24 04:00:00,1684900800000,8.6,8.6,8.6,8.6,1,2,8.6
12,2023-06-12 04:00:00,1686542400000,6.86,6.86,6.82,6.82,3,88,6.84
13,2023-06-16 04:00:00,1686888000000,6.35,6.35,6.35,6.35,1,3,6.35
14,2023-06-20 04:00:00,1687233600000,5.55,5.55,5.55,5.55,1,3,5.55
15,2023-06-22 04:00:00,1687406400000,4.75,4.75,4.75,4.75,1,3,4.75
16,2023-07-10 04:00:00,1688961600000,4.25,4.25,4.25,4.25,2,42,4.25
17,2023-07-14 04:00:00,1689307200000,5.4,5.4,5.4,5.4,3,35,5.4
18,2023-07-18 04:00:00,1689652800000,6.14,6.14,6.14,6.14,2,10,6.14
19,2023-08-01 04:00:00,1690862400000,4.0,4.0,4.0,4.0,2,56,4.0
20,2023-08-11 04:00:00,1691726400000,2.93,2.93,2.93,2.93,1,23,2.93
21,2023-08-17 04:00:00,1692244800000,2.07,2.07,2.03,2.03,4,40,2.036
22,2023-08-18 04:00:00,1692331200000,2.0,2.0,2.0,2.0,1,1,2.0
23,2023-09-11 04:00:00,1694404800000,1.81,1.81,1.81,1.81,1,3,1.81
24,2023-09-14 04:00:00,1694664000000,1.39,1.39,1.39,1.39,1,3,1.39
25,2023-09-15 04:00:00,1694750400000,1.68,1.8,1.66,1.8,4,4,1.71
26,2023-09-18 04:00:00,1695009600000,1.59,1.81,1.59,1.81,3,77,1.8044
27,2023-09-19 04:00:00,1695096000000,1.8,1.8,1.8,1.8,1,1,1.8
28,2023-09-20 04:00:00,1695182400000,1.83,2.06,1.83,1.88,4,5,1.952
29,2023-09-21 04:00:00,1695268800000,1.37,1.37,1.37,1.37,1,12,1.37
30,2023-09-22 04:00:00,1695355200000,1.54,1.54,1.54,1.54,1,1,1.54
31,2023-09-25 04:00:00,1695614400000,1.43,1.43,1.24,1.24,2,2,1.335
32,2023-09-26 04:00:00,1695700800000,1.04,1.04,1.04,1.04,1,2,1.04
33,2023-09-27 04:00:00,1695787200000,0.84,0.84,0.78,0.78,6,85,0.8329
34,2023-10-02 04:00:00,1696219200000,0.43,0.44,0.43,0.44,8,35,0.4314
35,2023-10-03 04:00:00,1696305600000,0.44,0.46,0.43,0.46,8,9,0.4456
36,2023-10-04 04:00:00,1696392000000,0.43,0.43,0.42,0.42,2,2,0.425
37,2023-10-05 04:00:00,1696478400000,0.38,0.41,0.38,0.41,4,21,0.3957
38,2023-10-06 04:00:00,1696564800000,0.43,0.51,0.43,0.51,3,3,0.4767
39,2023-10-09 04:00:00,1696824000000,0.64,0.71,0.64,0.71,2,2,0.675
40,2023-10-10 04:00:00,1696910400000,0.63,0.64,0.63,0.63,3,3,0.6333
41,2023-10-11 04:00:00,1696996800000,0.74,0.74,0.74,0.74,1,1,0.74
42,2023-10-12 04:00:00,1697083200000,0.68,0.68,0.68,0.68,1,1,0.68
43,2023-10-13 04:00:00,1697169600000,1.34,2.38,1.34,2.35,12,95,2.1774
44,2023-10-16 04:00:00,1697428800000,1.84,1.85,1.68,1.68,8,9,1.7944
45,2023-10-17 04:00:00,1697515200000,1.97,1.97,1.7,1.7,4,6,1.8383
46,2023-10-18 04:00:00,1697601600000,3.09,3.09,2.8,2.82,4,64,2.8716
47,2023-10-19 04:00:00,1697688000000,2.45,3.57,2.45,3.57,4,5,3.056
48,2023-10-20 04:00:00,1697774400000,3.65,4.1,3.4,3.4,16,194,3.9095
49,2023-10-23 04:00:00,1698033600000,3.22,3.22,3.2,3.2,2,6,3.2033
50,2023-10-24 04:00:00,1698120000000,2.42,2.69,2.38,2.67,11,287,2.4682
51,2023-10-25 04:00:00,1698206400000,2.98,3.38,2.98,3.18,4,15,3.22
52,2023-10-26 04:00:00,1698292800000,2.83,3.04,2.72,3.04,5,9,2.8044
53,2023-10-27 04:00:00,1698379200000,4.18,4.25,4.18,4.21,3,9,4.1989
54,2023-10-30 04:00:00,1698638400000,3.65,3.69,3.57,3.57,6,14,3.6443
55,2023-10-31 04:00:00,1698724800000,3.55,3.91,3.0,3.0,11,97,3.4916
